Source,Target,Type
Lanun_1017,DPR_RI,Directed
david_saleko,investorgabut,Directed
bree_cov,reynadefiip,Directed
Chila88888,LaminoTea,Directed
AD1T_RG,kompascom,Directed
kangmirdja,tempodotco,Directed
txtdrhrdoet,ardisatriawan,Directed
HinoBalap,krishnayana95,Directed
Jeng_KeuL,detikcom,Directed
puturizki,tempodotco,Directed
LinggisSabit,LambeSahamjja,Directed
immanuel_padang,AkilaNazaffu,Directed
SEdit2321840,idextratime,Directed
tazzella99,halu11ribuT,Directed
StefanAntonio__,Notonogoro67941,Directed
ruliemaulana,ruliemaulana,Directed
tazzella99,nocturnalicious,Directed
saopenabaca,geloraco,Directed
keluarga_sultan,Jumianto_RK,Directed
BoloneWilliam,Yulcandothis,Directed
erocryptoo,erocryptoo,Directed
satsukyhiruta,BigAlphaID,Directed
NarasiVisual,NarasiVisual,Directed
noegroho_basuki,marvelle_danny,Directed
raihanaditya86,innovacommunity,Directed
odjie85,tatangberkutang,Directed
urya_suryana,LambeSahamjja,Directed
Ndons_Back,kiwalipitu,Directed
allkacruuut,msaid_didu,Directed
IESR,prabowo,Directed
ErliSutaWarman,msaid_didu,Directed
diovergen,ezash,Directed
ireallylvyou,Boediantar4,Directed
Nandagustiann,_memoryusang,Directed
Ndons_Back,BANGSAygSUJUD,Directed
narwisan81,msaid_didu,Directed
RMTHandoko,msaid_didu,Directed
MisdiPriansyah4,KangSemproel,Directed
TxtdariHI,hrdbacot,Directed
kuahsotoenakkkk,tempodotco,Directed
odjie85,adrianusagi,Directed
bree_cov,resahnegeri,Directed
P3gEl,Altcoin_Whale1,Directed
aoi_ookami11,reynadefiip,Directed
Lanun_1017,kompascom,Directed
minionsthe6,pertamina,Directed
yudiwibowo976,yudiwibowo976,Directed
polisiolahraga,marvelle_danny,Directed
kuahsotoenakkkk,sukasantap,Directed
katakangparkir,dixatakan,Directed
antropolohis,Brokenbtch2,Directed
stobsjr,dimarsasongko98,Directed
Ndons_Back,DarekaRendy,Directed
warungsastra,kompascom,Directed
langitygbiru7,MiskinTV_,Directed
Anak__Ogi,jokowi,Directed
Ndons_Back,FDonghun,Directed
inspired_007,P3gEl,Directed
inong911,habiburokhman,Directed
SeekHustle,myron_pi,Directed
fat_bry,hrdbacot,Directed
marSyaheedAS,ProdArchitech,Directed
Furqanjurdi1,iwanpiliang7,Directed
yudiwibowo976,YgMenang_KPU_MK,Directed
semboyan35com,PT_Transjakarta,Directed
ignamukti,jokowi,Directed
0Shaleh,marvelle_danny,Directed
yudiwibowo976,OmJ_J3Nggott,Directed
senjakalama,reynadefiip,Directed
koganenohikari,poccariee,Directed
satsukyhiruta,trihartono__,Directed
Andhika60250823,Jumianto_RK,Directed
eddesign_,KawitSaja87137,Directed
yangbegituan,polisiolahraga,Directed
heevanaut,taeko0kie_,Directed
Eveloph,_1ky17,Directed
projectm_org,projectm_org,Directed
semboyan35com,lrtjabodebek,Directed
cahyodewantoroo,masduke_x,Directed
Nandagustiann,__AnakKolong,Directed
nadiaputri2996,tempodotco,Directed
_owh_gitu_ya_,Heraloebss,Directed
akubknsiapa2x,kepinginpintar,Directed
SelebtwitMobil,ItsMeHexa,Directed
UseKidd,nonton_radio,Directed
Jateng_Twit,oreo_biskuitz,Directed
jatmikk,zakiberkata,Directed
aoi_ookami11,resahnegeri,Directed
Yuniar_Indra_P,idextratime,Directed
kesadaran_ku,kompascom,Directed
Ndons_Back,Kimberley_PS08,Directed
minionsthe6,LafaWindy,Directed
Ikhwanazis89,xdent_s,Directed
cloudsmahe,TxtdariHI,Directed
jakarta48fansid,tempodotco,Directed
Angkasa_Kosong,MiskinTV_,Directed
hnldbus,marvelle_danny,Directed
jennieJNK__,catchmeupco,Directed
BoloneWilliam,frdzlhkmm,Directed
ferry_hdyt13,tempodotco,Directed
adlinur,alfeeii,Directed
serambinews,serambinews,Directed
chinamoure,bersuwara_,Directed
Ndons_Back,IrawanRommi,Directed
ignamukti,NgilmuKantiLaku,Directed
IntanKintania,liaasister,Directed
Angkasa_Kosong,Pak_JK,Directed
cahyodewantoroo,duketology_x,Directed
AMuhammad2425,MiskinTV_,Directed
fsaidhamzah,gnrlfans,Directed
BudakBaonkX,mas_veel,Directed
txtangkringan,txtangkringan,Directed
ToyoAjjah,Jakartalk,Directed
Legislator75,KangSemproel,Directed
senjakalama,resahnegeri,Directed
perupadata,perupadata,Directed
diovergen,Teramat_,Directed
pakmul63,PKSejahtera,Directed
Dihandri1,sigitwid,Directed
AdamVelcro,AdamVelcro,Directed
tribunnews,tribunbalikanal,Directed
P3gEl,papa_loren,Directed
OverseasIndomie,unmagnetism,Directed
_Haris_Srg,prabowo,Directed
AraZuliaryo,raykairi,Directed
Eveloph,junk_kiss,Directed
rouppme,satriohendri,Directed
Razieq97,AdhieMassardi,Directed
Karajgom,0htjit,Directed
SadgeFan,MurtadhaOne1,Directed
sharpandshark,sharpandshark,Directed
jalanparis,convomf,Directed
koganenohikari,txtdrbekasi,Directed
emyr_za1,prabowo,Directed
josetya,insidefolkative,Directed
ronavioleta,ronavioleta,Directed
varreldept,ucshaken,Directed
adlinur,ardanisbergas,Directed
Bhaktismail,dsuperboy,Directed
bukan4non,marioledesman,Directed
Bhaktismail,polisiolahraga,Directed
_pandangsudut,tempodotco,Directed
minionsthe6,rasjawa,Directed
mesatu_,_pandangsudut,Directed
AskPerplexity,kusput25,Directed
nalar_logis,prabowo,Directed
Ndons_Back,gibran_tweet,Directed
mbek_X,iyntwitt,Directed
SuryoYEY,abulmuzaffar10,Directed
TheanaXBT,Nebulavexion,Directed
tekarok007,ShamsiAli2,Directed
MisdiPriansyah4,Baribis_,Directed
KementerianESDM,KementerianESDM,Directed
Cpt28_,CNNIndonesia,Directed
odjie85,indepenSumatera,Directed
mesatu_,flowerbean_I,Directed
arman041411,pertamina,Directed
dewdewdwi,LambeSahamjja,Directed
sakatonikabcey,sakatonikabcey,Directed
Ndons_Back,Jordameds,Directed
marSyaheedAS,The_RedsIndo,Directed
arisw89,txtfromkeuangan,Directed
novembeer8,idextratime,Directed
Dedy44169434,RD_4WR1212,Directed
tme2tcjsrnr,Katakatahatiind,Directed
raykairi,gorioyoo,Directed
horcruxsh,SmwGwOto,Directed
reversiblefigs,_n0t4lfiaccount,Directed
eviy86,habolabo,Directed
Eveloph,tagarabak,Directed
Putra_Adi_YM,prabowo,Directed
odjie85,MiskinTV_,Directed
ZimanPargad2,liaasister,Directed
tazzella99,JeckSepparow,Directed
Nandagustiann,Aryprasetyo85,Directed
Ndons_Back,99propaganda,Directed
welly_albinanto,ChatibBasri,Directed
tekarok007,fe_iman,Directed
eddesign_,sekintangd99,Directed
welly_albinanto,mubin_nusantara,Directed
AvelinoGuido28,AvelinoGuido28,Directed
Roari_ARB,LambeSahamjja,Directed
mlinjhosanasini,tanyarlfes,Directed
Jonyrmi,kompascom,Directed
aji_mahatma,LambeSahamjja,Directed
oalahrizal,kkabjagiw,Directed
satsukyhiruta,Kasteis,Directed
Dengardengarco,Dengardengarco,Directed
nalar_logis,saidiman,Directed
BudakBaonkX,BudakBaonkX,Directed
Chicitcuiit,tanyakanrl,Directed
ManBehindThe9un,blank0429,Directed
TSetiotomo,msaid_didu,Directed
Nandagustiann,03__nakula,Directed
Sang9Bro,P0113R,Directed
ZimanPargad2,SmwGwOto,Directed
NovaNauval58209,insidefolkative,Directed
ukhtielya,MiskinTV_,Directed
nalar_logis,JuneSky90,Directed
nova_dharma_pm,nozelism,Directed
KangManto123,prabowo,Directed
setowicaksono,boxxtoc,Directed
vangkitongki,idextratime,Directed
Nandagustiann,seruanhl,Directed
umbihombes,insidefolkative,Directed
merrrcury,nozelism,Directed
HinoBalap,HinoBalap,Directed
sersanqomar,CNNIndonesia,Directed
alejandcarls,txtdrjkt,Directed
raykairi,txtdrpemerintah,Directed
yeributkuy,pertamina,Directed
suaminyafanny,e100ss,Directed
abng_aull,syfaeth,Directed
SadgeFan,prabowo,Directed
Utha_san,The_CivilEng,Directed
BarCk_14,idextratime,Directed
amelamalia2088,KanalnewsC,Directed
NDASHmuuu,kompascom,Directed
SORA50124,txtfromIR,Directed
pakmul63,pakmul63,Directed
hguyandi,MiskinTV_,Directed
hazmi_ash,hazmi_ash,Directed
t_huberton,DokterTifa,Directed
arpas2000,prastow,Directed
pertamina,pertamina,Directed
Rie50238,msaid_didu,Directed
ThatSun510,jokowi,Directed
arpas2000,AnthonyBudiawan,Directed
anakodok2009,insidefolkative,Directed
are_inismyname,prabowo,Directed
rakumza,Sammi86Pilang,Directed
ErliSutaWarman,DokterTifa,Directed
raflialfzn,ekowboy2,Directed
kangdede78,eddesign_,Directed
Chila88888,CNNIndonesia,Directed
adlinur,strike_bravo_b,Directed
BoloneWilliam,indepenSumatera,Directed
kangdede78,icharis,Directed
SugengEsatech,PartBurungGalak,Directed
heevanaut,ARSIPAJA,Directed
Graminale,prabowo,Directed
petanirumah,HSoekma23,Directed
prastow,MARIAM_Mendezz,Directed
inong911,prabowo,Directed
ismi_yanto,dsuperboy,Directed
DS_yantie,bangherwin,Directed
Amortalizartsz,BiLLRaY2019,Directed
semboyan35com,CommuterLine,Directed
ThatSun510,luhut_binsar,Directed
eddesign_,SungaiNil3,Directed
whydntr,Maruahalsiahaa2,Directed
s4kadewek,bersuwara_,Directed
gen_Z_speak,angga_fzn,Directed
Bakrek10,MinmonPS7,Directed
EfriSafitra1,kompascom,Directed
AraZuliaryo,txtdrpemerintah,Directed
Ndons_Back,prabowo,Directed
kangdede78,direktoridosen,Directed
prastow,Lelanang_,Directed
Ndons_Back,coldbrew165,Directed
Nandagustiann,2045Tv,Directed
direktoridosen,prabowo,Directed
Utha_san,BigAlphaID,Directed
EkoYustitianto1,msaid_didu,Directed
tribunmedan,tribunnews,Directed
UseKidd,hollowlaundrY32,Directed
Blue_oceanan,Hnirankara,Directed
Eveloph,The_RedsIndo,Directed
trimujokobayu,kompascom,Directed
whydntr,DokterTifa,Directed
inong911,Dara_Cega,Directed
seringham62617,erickthohir,Directed
bukan4non,americanoaddctd,Directed
Nandagustiann,Anak__Ogi,Directed
SadgeFan,helmfulfes,Directed
DewaRama,TxtdariHI,Directed
BoloneWilliam,KkkMirul0441,Directed
saidmarwan11,blank0429,Directed
RagaSukma_1,KapudS640,Directed
SORA50124,dna_d_destroyer,Directed
firmanovoselic,gilang_ahm31272,Directed
inisayasendiril,b0nnysidharta,Directed
minionsthe6,KangSemproel,Directed
indowfofficial,indowfofficial,Directed
wietj4k,awikuchuz,Directed
inspired_007,V3g3L,Directed
tazzella99,asli_komunies,Directed
NanuWisnu,SarjanaEksu,Directed
Ombahku,kompascom,Directed
lapen_melon,dimarsasongko98,Directed
JokoLipService,basuki_btp,Directed
MisdiPriansyah4,triwul82,Directed
KangSemproel,PribumiArema,Directed
inong911,setkabgoid,Directed
diovergen,lovamarciano,Directed
bmartawardaya,WOLF_of_IHSG,Directed
Adibara79,DrEvaChaniago,Directed
semboyan35com,mrtjakarta,Directed
sukaaabougenvil,cursedkidd,Directed
AD1T_RG,LambeSahamjja,Directed
Razieq97,BosPurwa,Directed
jatmikk,Cryptocium_id,Directed
1M_pertama,The_RedsIndo,Directed
Neonboxyellow,dimarsasongko98,Directed
Heraloebss,DanangRvP,Directed
Seputar_Energi_,ptm_patraniaga,Directed
minionsthe6,budmul80,Directed
arman041411,Mdy_Asmara1701,Directed
NexIDN,Jateng_Twit,Directed
TheanaXBT,insidefolkative,Directed
TxtdariHI,ezash,Directed
Awan2379,Opposite6888,Directed
skleteps,TxtdariHI,Directed
hujanyangturun_,Ardaffaf,Directed
bukan4non,sunflow3rmu,Directed
varreldept,Najazi731,Directed
alejandcarls,WalterWisnu,Directed
bukan4non,slametksndi,Directed
aji_mahatma,urya_suryana,Directed
kuahsotoenakkkk,ririprj,Directed
AraZuliaryo,randhilicious,Directed
ariiqdneutron,ardianpancaa,Directed
failedtostate,rgoestama,Directed
kangdede78,mazriva,Directed
emyr_za1,emyr_za1,Directed
Ex_TKI,WongAlasRoban,Directed
AlterHomieID,kompascom,Directed
Medic_boy,Aerio_Id,Directed
wrahardian2,triwul82,Directed
ignamukti,Ari3Pras,Directed
jatmikk,jatmikk,Directed
akubknsiapa2x,apapunituokeoke,Directed
Graminale,adsetting23,Directed
hasyimmah,dwioktariyadi,Directed
JokoLipService,Ahok,Directed
alfariz861,indepenSumatera,Directed
inong911,KakekHalal,Directed
tribunnews,tribunnews,Directed
ImminentAdi,marvelle_danny,Directed
txtfrwho,BapakKerja,Directed
FerdiansyahSP,detikcom,Directed
Heraloebss,prabowo,Directed
streetlawyers85,Jumianto_RK,Directed
s1mple_virus,Ardaffaf,Directed
heresmyjunmy,xquitavee,Directed
13_iwaN,nozelism,Directed
prapanca78,tempodotco,Directed
kakadjf,bachrum_achmadi,Directed
ferizandra,tempodotco,Directed
OpiniMerah,rsngprad,Directed
fsaidhamzah,moyalyubov7,Directed
arman041411,Menkeu,Directed
bluekid1991,Kudabajingan,Directed
Lanun_1017,prabowo,Directed
Anak__Ogi,bumn_idn,Directed
innovacommunity,rgoestama,Directed
MasQomaru,bigdigjohnny,Directed
Putra_Adi_YM,Ndons_Back,Directed
P3gEl,liputan6dotcom,Directed
rouppme,CB5,Directed
tazzella99,ekowboy2,Directed
katakangparkir,scolpioX,Directed
Nandagustiann,Muhayya__,Directed
emyr_za1,tempodotco,Directed
direktoridosen,tirta_cipeng,Directed
Nandagustiann,NgkongRoses,Directed
akubknsiapa2x,idextratime,Directed
ayamkechill,MiskinTV_,Directed
AriestaWijaya5,pertamina,Directed
sumur_resapan,kompascom,Directed
twhandayani78,pertamina,Directed
Nandagustiann,AntoniusCDN,Directed
AskPerplexity,thesaviour,Directed
heresmyjunmy,WillaFernando,Directed
PrinaWonkCerbon,erickthohir,Directed
abng_aull,dydy010101,Directed
seringham62617,bahlillahadalia,Directed
G3nX_files,gibran_tweet,Directed
anakodok2009,Kelas_ppds,Directed
