Id,Label
03__nakula,03__nakula
0Shaleh,0Shaleh
0htjit,0htjit
0xZiuuu,0xZiuuu
0xrizaldi,0xrizaldi
13_iwaN,13_iwaN
1M_pertama,1M_pertama
2045Tv,2045Tv
99propaganda,99propaganda
AD1T_RG,AD1T_RG
AMuhammad2425,AMuhammad2425
ARSIPAJA,ARSIPAJA
Aceh,Aceh
AdamVelcro,AdamVelcro
AdhieMassardi,AdhieMassardi
Adibara79,Adibara79
Aerio_Id,Aerio_Id
AgilTriatm64429,AgilTriatm64429
AgusAgu00819551,AgusAgu00819551
Ahok,Ahok
AkilaNazaffu,AkilaNazaffu
AlnilamOmar,AlnilamOmar
Altcoin_Whale1,Altcoin_Whale1
AlterHomieID,AlterHomieID
Amortalizartsz,Amortalizartsz
Anak__Ogi,Anak__Ogi
Andhika60250823,Andhika60250823
Angkasa_Kosong,Angkasa_Kosong
Ans37035,Ans37035
AnthonyBudiawan,AnthonyBudiawan
AntoniusCDN,AntoniusCDN
AraZuliaryo,AraZuliaryo
AraituLaki,AraituLaki
Ardaffaf,Ardaffaf
ArdiMardita,ArdiMardita
Ari3Pras,Ari3Pras
Ari_Ak2,Ari_Ak2
AriestaWijaya5,AriestaWijaya5
ArvinHonami,ArvinHonami
Aryprasetyo85,Aryprasetyo85
AskPerplexity,AskPerplexity
AvelinoGuido28,AvelinoGuido28
Awan2379,Awan2379
AyanggaHK,AyanggaHK
BANGSAygSUJUD,BANGSAygSUJUD
Bakrek10,Bakrek10
BapakKerja,BapakKerja
BarCk_14,BarCk_14
Baribis_,Baribis_
BeritaJalananID,BeritaJalananID
Bhaktismail,Bhaktismail
BiLLRaY2019,BiLLRaY2019
BigAlphaID,BigAlphaID
Blue_oceanan,Blue_oceanan
Boedak_Korporat,Boedak_Korporat
Boediantar4,Boediantar4
BoloneWilliam,BoloneWilliam
BosPurwa,BosPurwa
Brokenbtch2,Brokenbtch2
BtxSian,BtxSian
BudakBaonkX,BudakBaonkX
CB5,CB5
CNNIndonesia,CNNIndonesia
Catatan_ali7,Catatan_ali7
ChatibBasri,ChatibBasri
Chicitcuiit,Chicitcuiit
Chila88888,Chila88888
ChristJonas6,ChristJonas6
CilacapKekinian,CilacapKekinian
CommuterLine,CommuterLine
Cpt28_,Cpt28_
Criwis_gosip,Criwis_gosip
CryOn_ShinChann,CryOn_ShinChann
Cryptocium_id,Cryptocium_id
DPR_RI,DPR_RI
DS_yantie,DS_yantie
DanangRvP,DanangRvP
Dara_Cega,Dara_Cega
DarekaRendy,DarekaRendy
Dedy44169434,Dedy44169434
Dengardengarco,Dengardengarco
DewaRama,DewaRama
Dihandri1,Dihandri1
DipoSatriaR,DipoSatriaR
DokterTifa,DokterTifa
DrEvaChaniago,DrEvaChaniago
Duniawni,Duniawni
EfriSafitra1,EfriSafitra1
EkoYustitianto1,EkoYustitianto1
Enimarf,Enimarf
ErliSutaWarman,ErliSutaWarman
Eveloph,Eveloph
Ex_TKI,Ex_TKI
FDonghun,FDonghun
FPKSDPRRI,FPKSDPRRI
FaiNomady,FaiNomady
FerdiansyahSP,FerdiansyahSP
Franken_blues,Franken_blues
Furqanjurdi1,Furqanjurdi1
G3nX_files,G3nX_files
GIBOLofficial,GIBOLofficial
GRUNGE_GO,GRUNGE_GO
Graminale,Graminale
GudangMesiu1,GudangMesiu1
HSoekma23,HSoekma23
Harian_Jogja,Harian_Jogja
Heraloebss,Heraloebss
HeruCaturP,HeruCaturP
HeryIdris5,HeryIdris5
Hidupsebagai62,Hidupsebagai62
HinoBalap,HinoBalap
Hnirankara,Hnirankara
Holan_Siregar,Holan_Siregar
HunterRevi,HunterRevi
IDNTimes,IDNTimes
IESR,IESR
IPBbercanda,IPBbercanda
IjazahOri,IjazahOri
Ikhwanazis89,Ikhwanazis89
Imade_kun,Imade_kun
Imam_Widodo_,Imam_Widodo_
ImbKosta,ImbKosta
ImminentAdi,ImminentAdi
InfoJktCom,InfoJktCom
IntanKintania,IntanKintania
Ioroiisme,Ioroiisme
IrawanRommi,IrawanRommi
ItsMeHexa,ItsMeHexa
JakartaForum,JakartaForum
Jakartalk,Jakartalk
Jateng_Twit,Jateng_Twit
JeckSepparow,JeckSepparow
Jelli_cent,Jelli_cent
Jeng_KeuL,Jeng_KeuL
Jenggostars,Jenggostars
JogjaUpdate,JogjaUpdate
JokoLipService,JokoLipService
Jonyrmi,Jonyrmi
Jordameds,Jordameds
JuanJulianto2,JuanJulianto2
Jumianto_RK,Jumianto_RK
JuneSky90,JuneSky90
K0MENTAT0R,K0MENTAT0R
KING__VALDEZ,KING__VALDEZ
KakekHalal,KakekHalal
KanalnewsC,KanalnewsC
KangManto123,KangManto123
KangSemproel,KangSemproel
KapudS640,KapudS640
Karajgom,Karajgom
Kasteis,Kasteis
Katakatahatiind,Katakatahatiind
KawitSaja87137,KawitSaja87137
Kelas_ppds,Kelas_ppds
KementerianESDM,KementerianESDM
KerjaHasil_id,KerjaHasil_id
Kimberley_PS08,Kimberley_PS08
Kingskayl,Kingskayl
KkkMirul0441,KkkMirul0441
KompasOtomotif,KompasOtomotif
KompasTV,KompasTV
KontanNews,KontanNews
Kriuuukid,Kriuuukid
Kudabajingan,Kudabajingan
LafaWindy,LafaWindy
LambeResing,LambeResing
LambeSahamjja,LambeSahamjja
LaminoTea,LaminoTea
Lanun_1017,Lanun_1017
Legislator75,Legislator75
Lelanang_,Lelanang_
LexMarteg,LexMarteg
LinggisSabit,LinggisSabit
LogikaSwing,LogikaSwing
