username,tweet_raw,cluster,topik_dominan
iamretardio,"Banyak yang nanya, harga minyak dunia turun, kok harga BBM di Indonesia gak ikut turun? 

Ternyata sistemnya emang gak sesederhana yang kita bayangin. Aku coba rangkum biar kebayang :

1. Yang dipakai bukan harga minyak mentah.
Harga minyak yang kita lihat di berita itu minyak https://t.co/DYUL8DiKgC",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
stobsjr,"@dimarsasongko98 Pak Bahlil...., bagi orang punya duit nggak masalah harga BBM non subsidi naik. Yang jadi masalah adalah dampak berantai kenaikan BBM nonsubsidi yg sampai ke orang menengah dan miskin.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
dimarsasongko98,"Pertamax disebut BBM ""non-subsidi.""

Tapi Ketua Komisi XII DPR mengungkap langsung dari diskusi dengan Pertamina: harga aslinya Rp19.000–20.000/liter. 

Dijual Rp16.250 karena pemerintah intervensi. 

VP Pertamina sendiri mengakui: ""di pasar internasional sudah Rp20.000–21.000, https://t.co/omOvULn7L8",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
Neonboxyellow,@dimarsasongko98 bbm non subsidi mau naik berapa juga ga akan masalah jika sembako dan kebutuhan dasar lainnya tidak ikut naik. dollar stabil.,0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
myyoongles96,"Sapa tu ya yg kemaren ngetawain orang2 yg protes bbm non subsidi naik dan dikatain gak mampu?

MAM NOH KELANGKAAN BBM SUBSIDI",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
arteranews,"Direktur Jenderal Komunikasi Publik dan Media Kementerian Komunikasi dan Digital, Fifi Aleyda Yahya, memberikan penjelasan resmi terkait penyesuaian harga BBM non-subsidi jenis Pertamax yang kini naik menjadi Rp16.250 per liter. https://t.co/J3n7UQddoL",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
cloudsmahe,"@TxtdariHI harusnya bisa juga pertamina menurunkan harga bbm non subsidi, semoga saja harga ini juga stabil turun, cukup bagus juga pertamina masih bisa menahan harga hingga bulan juli bbm naik",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
DewaRama,@TxtdariHI Pejabat yg bilang BBM non subsidi hrsnya sdh naik dr dulu akan bilang harusnya turun dr dulu jg gak ya ?,2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
setowicaksono,"@boxxtoc ""Emang gue pikirin!""

Kalimat yg terucap, sewaktu kondisi negara:

- banyak PHK, entah jilid ke berapa
- lapangan pekerjaan yg ternyata nggak lapang
- masih banyak sekali pengangguran
- harga bbm non subsidi naik 30%-an, padahal gaji kita naiknya nggak segitu, tuh

Syt.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
setowicaksono,"""Emang gue pikirin!""

Kalimat yg terucap, sewaktu kondisi negara:

- banyak PHK, entah jilid ke berapa
- lapangan pekerjaan yg ternyata nggak lapang
- masih banyak sekali pengangguran
- harga bbm non subsidi naik 30%-an, padahal gaji kita naiknya nggak segitu, tuh

Syt.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
Sang9Bro,"@P0113R Dek Fatimah... kamunitu cuma anak yang cadas bukan cerdas. kalian bukan dewa.
Apa yg jadi tuntutan kalian sebenarnya bukan ranah kalian. Itu ranah orang tua. Lagian, ngga ada harga2 kebutuhan yg naik tajam, bbm pun ngga naik koq, kecuali pertamax itupun bbm non subsidi.",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
mediaindonesia,"Menkeu Purbaya Optimistis Harga Pertamax akan Segera Turun

Menteri Keuangan Purbaya Yudhi Sadewa optimistis harga bahan bakar minyak (BBM) non-subsidi seperti Pertamax dan Pertamax Green 95 yang sempat naik pada 9 Juni 2026 akan kembali turun. Keyakinan tersebut didorong oleh https://t.co/5HDk5lybzL",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
kesadaran_ku,@kompascom gara gara BBM tidak naik? lah apa presiden tidak tau kalo BBM non subsidi naik?,2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
TirtoID,"Konflik di Timur Tengah tidak hanya memicu sentimen risk-off global, tetapi juga menaikkan harga energi yang memicu cost-push inflation (inflasi didorong biaya produksi). Terbukti, inflasi IHK Mei 2026 merangkak naik ke level 3,08% karena penyesuaian harga BBM non-subsidi dan https://t.co/6FY71IAWLr",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
ayamkechill,"@MiskinTV_ Bbm non subsidi naik = pengguna subsidi ga usah protes
Listrik mati bergilir = pengguna subsidi ga usah protes",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
Ombahku,"@kompascom Saat menaikkan harga BBM Non Subsidi jenis Pertamax tidak ada diksi ""Berpeluang Naik"", langsung naik aja😂",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
AdamVelcro,"Yang tetap menanggungnya, sedangkan harusnya yg non subsidi mengikuti harga minyak dunia yg katanya turun gak ikut turun juga tuh. Di hitung juga kah inflasi lainnya dampak bbm naik sampai 30 %++ kenyataannya di masyarakat juga harga² naik segitu juga kurleb 30%++ jd masih bangga",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
mridhoalhazmi,"Pertamax bbm non subsidi harganya pasti mengikuti harga minyak dunia, kenapa jadi persoalan kalau naik ? Kelangkaan pertalite karena pertalite itu bbm subsidi, semua hal yang di subsidi pasti ada kuotanya, kalau seluruh rakyat indonesia pakai bbm subsidi berarti ada APBN terbeban",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
hendrasumar,"PERTAMAX NAIK RP 3.950/LITER. BERTAHAN DEMI MESIN ATAU PINDAH MAZHAB?

Tiap mampir ke SPBU sekarang bawaannya pengen istighfar. 

Per 10 Juni 2026 kemarin, Pertamina resmi mengerek harga BBM non-subsidi. Gak tanggung-tanggung, Pertamax (RON 92) lompat dari Rp 12.300 menjadi Rp https://t.co/oG0dwn4lJm",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
REVAIZAL,"2. BBM Non subsidi naik -&gt; bisa jadi pisau bermata dua. Untuk ojol, angkutan umum, masyarakat menengah kebawah, ekspedisi dan angkutan sembako (sebagai prioritas) Tapi ati ati dibelakang investor kebanyakan sektor swasta yg kendaraannya harus non subsidi, mereka bisa gerakin masa",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
