username,entity,label,kalimat_contoh
iamretardio,Indonesia,LOCATION,"Banyak yang nanya, harga minyak dunia turun, kok harga BBM di Indonesia gak ikut turun? 

Ternyata s..."
iamretardio,Bbm,PRODUCT,"Banyak yang nanya, harga minyak dunia turun, kok harga BBM di Indonesia gak ikut turun? 

Ternyata s..."
iamretardio,Minyak Mentah,PRODUCT,"Banyak yang nanya, harga minyak dunia turun, kok harga BBM di Indonesia gak ikut turun? 

Ternyata s..."
iamretardio,BBM,PRODUCT,"Banyak yang nanya, harga minyak dunia turun, kok harga BBM di Indonesia gak ikut turun? 

Ternyata s..."
stobsjr,Bahlil,PERSON,"@dimarsasongko98 Pak Bahlil...., bagi orang punya duit nggak masalah harga BBM non subsidi naik. Yan..."
stobsjr,Bbm,PRODUCT,"@dimarsasongko98 Pak Bahlil...., bagi orang punya duit nggak masalah harga BBM non subsidi naik. Yan..."
stobsjr,BBM,PRODUCT,"@dimarsasongko98 Pak Bahlil...., bagi orang punya duit nggak masalah harga BBM non subsidi naik. Yan..."
dimarsasongko98,Rp19.000,MONEY,"Pertamax disebut BBM ""non-subsidi.""

Tapi Ketua Komisi XII DPR mengungkap langsung dari diskusi deng..."
dimarsasongko98,Rp16.250,MONEY,"Pertamax disebut BBM ""non-subsidi.""

Tapi Ketua Komisi XII DPR mengungkap langsung dari diskusi deng..."
dimarsasongko98,Rp20.000,MONEY,"Pertamax disebut BBM ""non-subsidi.""

Tapi Ketua Komisi XII DPR mengungkap langsung dari diskusi deng..."
dimarsasongko98,Komisi,PERSON,"Pertamax disebut BBM ""non-subsidi.""

Tapi Ketua Komisi XII DPR mengungkap langsung dari diskusi deng..."
dimarsasongko98,Pertamina,PERSON,"Pertamax disebut BBM ""non-subsidi.""

Tapi Ketua Komisi XII DPR mengungkap langsung dari diskusi deng..."
dimarsasongko98,Pertamax,PRODUCT,"Pertamax disebut BBM ""non-subsidi.""

Tapi Ketua Komisi XII DPR mengungkap langsung dari diskusi deng..."
dimarsasongko98,Bbm,PRODUCT,"Pertamax disebut BBM ""non-subsidi.""

Tapi Ketua Komisi XII DPR mengungkap langsung dari diskusi deng..."
dimarsasongko98,Pertamina,ORGANIZATION,"Pertamax disebut BBM ""non-subsidi.""

Tapi Ketua Komisi XII DPR mengungkap langsung dari diskusi deng..."
dimarsasongko98,Komisi Xii Dpr,ORGANIZATION,"Pertamax disebut BBM ""non-subsidi.""

Tapi Ketua Komisi XII DPR mengungkap langsung dari diskusi deng..."
dimarsasongko98,Dpr,ORGANIZATION,"Pertamax disebut BBM ""non-subsidi.""

Tapi Ketua Komisi XII DPR mengungkap langsung dari diskusi deng..."
dimarsasongko98,BBM,PRODUCT,"Pertamax disebut BBM ""non-subsidi.""

Tapi Ketua Komisi XII DPR mengungkap langsung dari diskusi deng..."
dimarsasongko98,XII,ORGANIZATION,"Pertamax disebut BBM ""non-subsidi.""

Tapi Ketua Komisi XII DPR mengungkap langsung dari diskusi deng..."
dimarsasongko98,DPR,ORGANIZATION,"Pertamax disebut BBM ""non-subsidi.""

Tapi Ketua Komisi XII DPR mengungkap langsung dari diskusi deng..."
dimarsasongko98,VP,ORGANIZATION,"Pertamax disebut BBM ""non-subsidi.""

Tapi Ketua Komisi XII DPR mengungkap langsung dari diskusi deng..."
Neonboxyellow,Bbm,PRODUCT,@dimarsasongko98 bbm non subsidi mau naik berapa juga ga akan masalah jika sembako dan kebutuhan das...
myyoongles96,Bbm,PRODUCT,"Sapa tu ya yg kemaren ngetawain orang2 yg protes bbm non subsidi naik dan dikatain gak mampu?

MAM N..."
