username,raw_text,clean_text,case_folding_text,tokenized_text,normalized_text,stopword_text,frequency_tokens_text,stemmed_text
iamretardio,"Banyak yang nanya, harga minyak dunia turun, kok harga BBM di Indonesia gak ikut turun? 

Ternyata sistemnya emang gak sesederhana yang kita bayangin. Aku coba rangkum biar kebayang :

1. Yang dipakai bukan harga minyak mentah.
Harga minyak yang kita lihat di berita itu minyak https://t.co/DYUL8DiKgC",banyak yang nanya harga minyak dunia turun kok harga bbm di indonesia gak ikut turun ternyata sistemnya emang gak sesederhana yang kita bayangin aku coba rangkum biar kebayang yang dipakai bukan harga minyak mentah harga minyak yang kita lihat di berita itu minyak,banyak yang nanya harga minyak dunia turun kok harga bbm di indonesia gak ikut turun ternyata sistemnya emang gak sesederhana yang kita bayangin aku coba rangkum biar kebayang yang dipakai bukan harga minyak mentah harga minyak yang kita lihat di berita itu minyak,banyak yang nanya harga minyak dunia turun kok harga bbm di indonesia gak ikut turun ternyata sistemnya emang gak sesederhana yang kita bayangin aku coba rangkum biar kebayang yang dipakai bukan harga minyak mentah harga minyak yang kita lihat di berita itu minyak,banyak yang nanya harga minyak dunia turun kok harga bbm di indonesia tidak ikut turun ternyata sistemnya emang tidak sesederhana yang kita bayangkan aku coba rangkum biar kebayang yang dipakai bukan harga minyak mentah harga minyak yang kita lihat di berita itu minyak,nanya harga minyak dunia turun harga bbm indonesia turun sistemnya emang sesederhana bayangkan coba rangkum biar kebayang dipakai harga minyak mentah harga minyak lihat berita minyak,nanya(1) harga(4) minyak(4) dunia(1) turun(2) bbm(1) indonesia(1) sistemnya(1) emang(1) sesederhana(1) bayangkan(1) coba(1) rangkum(1) biar(1) kebayang(1) dipakai(1) mentah(1) lihat(1) berita(1),nanya harga minyak dunia turun harga bbm indonesia turun sistem emang sederhana bayang coba rangkum biar bayang pakai harga minyak mentah harga minyak lihat berita minyak
stobsjr,"@dimarsasongko98 Pak Bahlil...., bagi orang punya duit nggak masalah harga BBM non subsidi naik. Yang jadi masalah adalah dampak berantai kenaikan BBM nonsubsidi yg sampai ke orang menengah dan miskin.",pak bahlil bagi orang punya duit nggak masalah harga bbm non subsidi naik yang jadi masalah adalah dampak berantai kenaikan bbm nonsubsidi yg sampai ke orang menengah dan miskin,pak bahlil bagi orang punya duit nggak masalah harga bbm non subsidi naik yang jadi masalah adalah dampak berantai kenaikan bbm nonsubsidi yg sampai ke orang menengah dan miskin,pak bahlil bagi orang punya duit nggak masalah harga bbm non subsidi naik yang jadi masalah adalah dampak berantai kenaikan bbm nonsubsidi yg sampai ke orang menengah dan miskin,pak bahlil bagi orang punya duit tidak masalah harga bbm non subsidi naik yang jadi masalah adalah dampak berantai kenaikan bbm nonsubsidi yang sampai ke orang menengah dan miskin,bahlil orang duit harga bbm non subsidi dampak berantai kenaikan bbm nonsubsidi orang menengah miskin,bahlil(1) orang(2) duit(1) harga(1) bbm(2) non(1) subsidi(1) dampak(1) berantai(1) kenaikan(1) nonsubsidi(1) menengah(1) miskin(1),bahlil orang duit harga bbm non subsidi dampak beranta naik bbm nonsubsidi orang tengah miskin
dimarsasongko98,"Pertamax disebut BBM ""non-subsidi.""

Tapi Ketua Komisi XII DPR mengungkap langsung dari diskusi dengan Pertamina: harga aslinya Rp19.000–20.000/liter. 

Dijual Rp16.250 karena pemerintah intervensi. 

VP Pertamina sendiri mengakui: ""di pasar internasional sudah Rp20.000–21.000, https://t.co/omOvULn7L8",pertamax disebut bbm non subsidi tapi ketua komisi xii dpr mengungkap langsung dari diskusi dengan pertamina harga aslinya rp liter dijual rp karena pemerintah intervensi vp pertamina sendiri mengakui di pasar internasional sudah rp,pertamax disebut bbm non subsidi tapi ketua komisi xii dpr mengungkap langsung dari diskusi dengan pertamina harga aslinya rp liter dijual rp karena pemerintah intervensi vp pertamina sendiri mengakui di pasar internasional sudah rp,pertamax disebut bbm non subsidi tapi ketua komisi xii dpr mengungkap langsung dari diskusi dengan pertamina harga aslinya rp liter dijual rp karena pemerintah intervensi vp pertamina sendiri mengakui di pasar internasional sudah rp,pertamax disebut bbm non subsidi tapi ketua komisi xii dpr mengungkap langsung dari diskusi dengan pertamina harga aslinya rp liter dijual rp karena pemerintah intervensi vp pertamina sendiri mengakui di pasar internasional sudah rp,pertamax bbm non subsidi ketua komisi xii dpr mengungkap langsung diskusi pertamina harga aslinya rp liter dijual rp pemerintah intervensi vp pertamina mengakui pasar internasional rp,pertamax(1) bbm(1) non(1) subsidi(1) ketua(1) komisi(1) xii(1) dpr(1) mengungkap(1) langsung(1) diskusi(1) pertamina(2) harga(1) aslinya(1) rp(3) liter(1) dijual(1) pemerintah(1) intervensi(1) vp(1) mengakui(1) pasar(1) internasional(1),pertamax bbm non subsidi ketua komisi xii dpr ungkap langsung diskusi pertamina harga asli rp liter jual rp perintah intervensi vp pertamina aku pasar internasional rp
Neonboxyellow,@dimarsasongko98 bbm non subsidi mau naik berapa juga ga akan masalah jika sembako dan kebutuhan dasar lainnya tidak ikut naik. dollar stabil.,bbm non subsidi mau naik berapa juga ga akan masalah jika sembako dan kebutuhan dasar lainnya tidak ikut naik dollar stabil,bbm non subsidi mau naik berapa juga ga akan masalah jika sembako dan kebutuhan dasar lainnya tidak ikut naik dollar stabil,bbm non subsidi mau naik berapa juga ga akan masalah jika sembako dan kebutuhan dasar lainnya tidak ikut naik dollar stabil,bbm non subsidi mau naik berapa juga tidak akan masalah jika sembako dan kebutuhan dasar lainnya tidak ikut naik dollar stabil,bbm non subsidi sembako kebutuhan dasar dollar stabil,bbm(1) non(1) subsidi(1) sembako(1) kebutuhan(1) dasar(1) dollar(1) stabil(1),bbm non subsidi sembako butuh dasar dollar stabil
myyoongles96,"Sapa tu ya yg kemaren ngetawain orang2 yg protes bbm non subsidi naik dan dikatain gak mampu?

MAM NOH KELANGKAAN BBM SUBSIDI",sapa tu ya yg kemaren ngetawain orang yg protes bbm non subsidi naik dan dikatain gak mampu mam noh kelangkaan bbm subsidi,sapa tu ya yg kemaren ngetawain orang yg protes bbm non subsidi naik dan dikatain gak mampu mam noh kelangkaan bbm subsidi,sapa tu ya yg kemaren ngetawain orang yg protes bbm non subsidi naik dan dikatain gak mampu mam noh kelangkaan bbm subsidi,sapa itu ya yang kemaren ngetawain orang yang protes bbm non subsidi naik dan dikatain tidak mampu mam noh kelangkaan bbm subsidi,sapa ya kemaren ngetawain orang protes bbm non subsidi dikatain mam noh kelangkaan bbm subsidi,sapa(1) ya(1) kemaren(1) ngetawain(1) orang(1) protes(1) bbm(2) non(1) subsidi(2) dikatain(1) mam(1) noh(1) kelangkaan(1),sapa ya kemaren ngetawain orang protes bbm non subsidi dikatain mam noh langka bbm subsidi
arteranews,"Direktur Jenderal Komunikasi Publik dan Media Kementerian Komunikasi dan Digital, Fifi Aleyda Yahya, memberikan penjelasan resmi terkait penyesuaian harga BBM non-subsidi jenis Pertamax yang kini naik menjadi Rp16.250 per liter. https://t.co/J3n7UQddoL",direktur jenderal komunikasi publik dan media kementerian komunikasi dan digital fifi aleyda yahya memberikan penjelasan resmi terkait penyesuaian harga bbm non subsidi jenis pertamax yang kini naik menjadi rp per liter,direktur jenderal komunikasi publik dan media kementerian komunikasi dan digital fifi aleyda yahya memberikan penjelasan resmi terkait penyesuaian harga bbm non subsidi jenis pertamax yang kini naik menjadi rp per liter,direktur jenderal komunikasi publik dan media kementerian komunikasi dan digital fifi aleyda yahya memberikan penjelasan resmi terkait penyesuaian harga bbm non subsidi jenis pertamax yang kini naik menjadi rp per liter,direktur jenderal komunikasi publik dan media kementerian komunikasi dan digital fifi aleyda yahya memberikan penjelasan resmi terkait penyesuaian harga bbm non subsidi jenis pertamax yang kini naik menjadi rp per liter,direktur jenderal komunikasi publik media kementerian komunikasi digital fifi aleyda yahya penjelasan resmi terkait penyesuaian harga bbm non subsidi jenis pertamax rp liter,direktur(1) jenderal(1) komunikasi(2) publik(1) media(1) kementerian(1) digital(1) fifi(1) aleyda(1) yahya(1) penjelasan(1) resmi(1) terkait(1) penyesuaian(1) harga(1) bbm(1) non(1) subsidi(1) jenis(1) pertamax(1) rp(1) liter(1),direktur jenderal komunikasi publik media menteri komunikasi digital fifi aleyda yahya jelas resmi kait sesuai harga bbm non subsidi jenis pertamax rp liter
cloudsmahe,"@TxtdariHI harusnya bisa juga pertamina menurunkan harga bbm non subsidi, semoga saja harga ini juga stabil turun, cukup bagus juga pertamina masih bisa menahan harga hingga bulan juli bbm naik",harusnya bisa juga pertamina menurunkan harga bbm non subsidi semoga saja harga ini juga stabil turun cukup bagus juga pertamina masih bisa menahan harga hingga bulan juli bbm naik,harusnya bisa juga pertamina menurunkan harga bbm non subsidi semoga saja harga ini juga stabil turun cukup bagus juga pertamina masih bisa menahan harga hingga bulan juli bbm naik,harusnya bisa juga pertamina menurunkan harga bbm non subsidi semoga saja harga ini juga stabil turun cukup bagus juga pertamina masih bisa menahan harga hingga bulan juli bbm naik,harusnya bisa juga pertamina menurunkan harga bbm non subsidi semoga saja harga ini juga stabil turun cukup bagus juga pertamina masih bisa menahan harga hingga bulan juli bbm naik,pertamina menurunkan harga bbm non subsidi semoga harga stabil turun bagus pertamina menahan harga juli bbm,pertamina(2) menurunkan(1) harga(3) bbm(2) non(1) subsidi(1) semoga(1) stabil(1) turun(1) bagus(1) menahan(1) juli(1),pertamina turun harga bbm non subsidi moga harga stabil turun bagus pertamina tahan harga juli bbm
DewaRama,@TxtdariHI Pejabat yg bilang BBM non subsidi hrsnya sdh naik dr dulu akan bilang harusnya turun dr dulu jg gak ya ?,pejabat yg bilang bbm non subsidi hrsnya sdh naik dr dulu akan bilang harusnya turun dr dulu jg gak ya,pejabat yg bilang bbm non subsidi hrsnya sdh naik dr dulu akan bilang harusnya turun dr dulu jg gak ya,pejabat yg bilang bbm non subsidi hrsnya sdh naik dr dulu akan bilang harusnya turun dr dulu jg gak ya,pejabat yang bilang bbm non subsidi hrsnya sudah naik dari dulu akan bilang harusnya turun dari dulu juga tidak ya,pejabat bilang bbm non subsidi hrsnya bilang turun ya,pejabat(1) bilang(2) bbm(1) non(1) subsidi(1) hrsnya(1) turun(1) ya(1),jabat bilang bbm non subsidi hrsnya bilang turun ya
setowicaksono,"@boxxtoc ""Emang gue pikirin!""

Kalimat yg terucap, sewaktu kondisi negara:

- banyak PHK, entah jilid ke berapa
- lapangan pekerjaan yg ternyata nggak lapang
- masih banyak sekali pengangguran
- harga bbm non subsidi naik 30%-an, padahal gaji kita naiknya nggak segitu, tuh

Syt.",emang gue pikirin kalimat yg terucap sewaktu kondisi negara banyak phk entah jilid ke berapa lapangan pekerjaan yg ternyata nggak lapang masih banyak sekali pengangguran harga bbm non subsidi naik an padahal gaji kita naiknya nggak segitu tuh syt,emang gue pikirin kalimat yg terucap sewaktu kondisi negara banyak phk entah jilid ke berapa lapangan pekerjaan yg ternyata nggak lapang masih banyak sekali pengangguran harga bbm non subsidi naik an padahal gaji kita naiknya nggak segitu tuh syt,emang gue pikirin kalimat yg terucap sewaktu kondisi negara banyak phk entah jilid ke berapa lapangan pekerjaan yg ternyata nggak lapang masih banyak sekali pengangguran harga bbm non subsidi naik an padahal gaji kita naiknya nggak segitu tuh syt,emang gue pikirin kalimat yang terucap sewaktu kondisi negara banyak phk entah jilid ke berapa lapangan pekerjaan yang ternyata tidak lapang masih banyak sekali pengangguran harga bbm non subsidi naik an padahal gaji kita naiknya tidak segitu tuh syt,emang gue pikirin kalimat terucap kondisi negara phk jilid lapangan pekerjaan lapang pengangguran harga bbm non subsidi an gaji naiknya segitu tuh syt,emang(1) gue(1) pikirin(1) kalimat(1) terucap(1) kondisi(1) negara(1) phk(1) jilid(1) lapangan(1) pekerjaan(1) lapang(1) pengangguran(1) harga(1) bbm(1) non(1) subsidi(1) an(1) gaji(1) naiknya(1) segitu(1) tuh(1) syt(1),emang gue pikirin kalimat ucap kondisi negara phk jilid lapang kerja lapang anggur harga bbm non subsidi an gaji naik segitu tuh syt
setowicaksono,"""Emang gue pikirin!""

Kalimat yg terucap, sewaktu kondisi negara:

- banyak PHK, entah jilid ke berapa
- lapangan pekerjaan yg ternyata nggak lapang
- masih banyak sekali pengangguran
- harga bbm non subsidi naik 30%-an, padahal gaji kita naiknya nggak segitu, tuh

Syt.",emang gue pikirin kalimat yg terucap sewaktu kondisi negara banyak phk entah jilid ke berapa lapangan pekerjaan yg ternyata nggak lapang masih banyak sekali pengangguran harga bbm non subsidi naik an padahal gaji kita naiknya nggak segitu tuh syt,emang gue pikirin kalimat yg terucap sewaktu kondisi negara banyak phk entah jilid ke berapa lapangan pekerjaan yg ternyata nggak lapang masih banyak sekali pengangguran harga bbm non subsidi naik an padahal gaji kita naiknya nggak segitu tuh syt,emang gue pikirin kalimat yg terucap sewaktu kondisi negara banyak phk entah jilid ke berapa lapangan pekerjaan yg ternyata nggak lapang masih banyak sekali pengangguran harga bbm non subsidi naik an padahal gaji kita naiknya nggak segitu tuh syt,emang gue pikirin kalimat yang terucap sewaktu kondisi negara banyak phk entah jilid ke berapa lapangan pekerjaan yang ternyata tidak lapang masih banyak sekali pengangguran harga bbm non subsidi naik an padahal gaji kita naiknya tidak segitu tuh syt,emang gue pikirin kalimat terucap kondisi negara phk jilid lapangan pekerjaan lapang pengangguran harga bbm non subsidi an gaji naiknya segitu tuh syt,emang(1) gue(1) pikirin(1) kalimat(1) terucap(1) kondisi(1) negara(1) phk(1) jilid(1) lapangan(1) pekerjaan(1) lapang(1) pengangguran(1) harga(1) bbm(1) non(1) subsidi(1) an(1) gaji(1) naiknya(1) segitu(1) tuh(1) syt(1),emang gue pikirin kalimat ucap kondisi negara phk jilid lapang kerja lapang anggur harga bbm non subsidi an gaji naik segitu tuh syt
